ep 189, a_n 45, epsilon 0.313, total_reward 16.53731249239011, step 14012
ep 190, a_n 42, epsilon 0.312, total_reward 16.142134638155717, step 14054
ep 191, a_n 21, epsilon 0.312, total_reward 101.21148258767069, step 14075
ep 192, a_n 17, epsilon 0.311, total_reward 199.16225767658207, step 14092
ep 193, a_n 42, epsilon 0.310, total_reward -14.987229382572638, step 14134
ep 194, a_n 62, epsilon 0.308, total_reward 4.55269348011889, step 14196
ep 195, a_n 60, epsilon 0.307, total_reward -26.35842029705681, step 14256
ep 196, a_n 47, epsilon 0.305, total_reward -16.378309111023782, step 14303
ep 197, a_n 31, epsilon 0.305, total_reward 51.45507908412087, step 14334
ep 198, a_n 42, epsilon 0.303, total_reward -11.481206946489008, step 14376
ep 199, a_n 64, epsilon 0.302, total_reward 0.9983137040307617, step 14440
ep 200, a_n 26, epsilon 0.301, total_reward 52.42445634718844, step 14466
ep 201, a_n 35, epsilon 0.300, total_reward 30.257335613180427, step 14501
ep 202, a_n 42, epsilon 0.299, total_reward -9.392813804548247, step 14543
ep 203, a_n 33, epsilon 0.298, total_reward 34.340447602122296, step 14576
ep 204, a_n 64, epsilon 0.297, total_reward -25.335670811967443, step 14640
ep 205, a_n 23, epsilon 0.296, total_reward 79.98521530856361, step 14663
ep 206, a_n 33, epsilon 0.295, total_reward 9.244601587357906, step 14696
ep 207, a_n 47, epsilon 0.294, total_reward -19.188911709642262, step 14743
ep 208, a_n 89, epsilon 0.292, total_reward 0.4883686503464483, step 14832
ep 209, a_n 36, epsilon 0.291, total_reward -1.7542936530574629, step 14868
ep 210, a_n 49, epsilon 0.289, total_reward 6.810909115315177, step 14917
ep 211, a_n 65, epsilon 0.288, total_reward -26.77980302396096, step 14982
ep 212, a_n 57, epsilon 0.286, total_reward -25.95661470872913, step 15039
ep 213, a_n 64, epsilon 0.285, total_reward -28.545996329653377, step 15103
ep 214, a_n 57, epsilon 0.283, total_reward -23.730086060141478, step 15160
ep 215, a_n 39, epsilon 0.282, total_reward -9.494134793467847, step 15199
ep 216, a_n 62, epsilon 0.281, total_reward -18.492826469475503, step 15261
ep 217, a_n 44, epsilon 0.280, total_reward 7.89193094699232, step 15305
ep 218, a_n 48, epsilon 0.279, total_reward 14.157930559206086, step 15353
ep 219, a_n 100, epsilon 0.276, total_reward -4.32409585785493, step 15453
ep 220, a_n 47, epsilon 0.275, total_reward 5.468607880374986, step 15500
ep 221, a_n 37, epsilon 0.274, total_reward -5.279143222767445, step 15537
ep 222, a_n 33, epsilon 0.273, total_reward 36.22747705861778, step 15570
ep 223, a_n 37, epsilon 0.272, total_reward -3.5323813124419345, step 15607
ep 224, a_n 38, epsilon 0.272, total_reward -1.4094205779144708, step 15645
ep 225, a_n 87, epsilon 0.269, total_reward -31.213213710841558, step 15732
ep 226, a_n 17, epsilon 0.269, total_reward 197.82998930747814, step 15749
ep 227, a_n 43, epsilon 0.268, total_reward -14.979439105437862, step 15792
ep 228, a_n 41, epsilon 0.267, total_reward -11.868925513463969, step 15833
ep 229, a_n 100, epsilon 0.265, total_reward -0.8020907348094717, step 15933
ep 230, a_n 29, epsilon 0.264, total_reward 73.32996320445004, step 15962
ep 231, a_n 100, epsilon 0.262, total_reward -29.954277889769546, step 16062
ep 232, a_n 60, epsilon 0.260, total_reward 2.7040825489992995, step 16122
ep 233, a_n 59, epsilon 0.259, total_reward -25.945062974180537, step 16181
ep 234, a_n 31, epsilon 0.258, total_reward 50.125584545424424, step 16212
ep 235, a_n 32, epsilon 0.258, total_reward 13.44374013980892, step 16244
ep 236, a_n 34, epsilon 0.257, total_reward 3.7416331009978343, step 16278
ep 237, a_n 43, epsilon 0.256, total_reward -14.25698398327022, step 16321
ep 238, a_n 32, epsilon 0.255, total_reward 11.678232475821652, step 16353
ep 239, a_n 100, epsilon 0.253, total_reward -25.943346014006433, step 16453
ep 240, a_n 85, epsilon 0.251, total_reward -5.859636661806045, step 16538
ep 241, a_n 48, epsilon 0.250, total_reward -19.050833665771584, step 16586
ep 242, a_n 50, epsilon 0.249, total_reward -21.228328529752186, step 16636
ep 243, a_n 58, epsilon 0.248, total_reward -27.34697327437916, step 16694
